#           k/h    P           
   0.681276E-04   0.301217E+03
   0.688123E-04   0.304146E+03
   0.695039E-04   0.307102E+03
   0.702024E-04   0.310088E+03
   0.709079E-04   0.313102E+03
   0.716206E-04   0.316146E+03
   0.723404E-04   0.319219E+03
   0.730674E-04   0.322323E+03
   0.738018E-04   0.325456E+03
   0.745435E-04   0.328620E+03
   0.752926E-04   0.331814E+03
   0.760494E-04   0.335040E+03
   0.768137E-04   0.338297E+03
   0.775857E-04   0.341585E+03
   0.783654E-04   0.344906E+03
   0.791530E-04   0.348259E+03
   0.799485E-04   0.351644E+03
   0.807520E-04   0.355062E+03
   0.815636E-04   0.358514E+03
   0.823833E-04   0.361999E+03
   0.832112E-04   0.365517E+03
   0.840475E-04   0.369070E+03
   0.848922E-04   0.372658E+03
   0.857454E-04   0.376280E+03
   0.866072E-04   0.379938E+03
   0.874776E-04   0.383631E+03
   0.883567E-04   0.387360E+03
   0.892447E-04   0.391125E+03
   0.901417E-04   0.394926E+03
   0.910476E-04   0.398765E+03
   0.919627E-04   0.402641E+03
   0.928869E-04   0.406555E+03
   0.938204E-04   0.410506E+03
   0.947633E-04   0.414496E+03
   0.957157E-04   0.418525E+03
   0.966777E-04   0.422592E+03
   0.976493E-04   0.426699E+03
   0.986307E-04   0.430847E+03
   0.996220E-04   0.435034E+03
   0.100623E-03   0.439262E+03
   0.101634E-03   0.443531E+03
   0.102656E-03   0.447842E+03
   0.103688E-03   0.452194E+03
   0.104730E-03   0.456589E+03
   0.105782E-03   0.461026E+03
   0.106845E-03   0.465506E+03
   0.107919E-03   0.470030E+03
   0.109004E-03   0.474598E+03
   0.110099E-03   0.479210E+03
   0.111206E-03   0.483867E+03
   0.112323E-03   0.488569E+03
   0.113452E-03   0.493316E+03
   0.114593E-03   0.498110E+03
   0.115744E-03   0.502950E+03
   0.116907E-03   0.507838E+03
   0.118082E-03   0.512772E+03
   0.119269E-03   0.517755E+03
   0.120468E-03   0.522786E+03
   0.121679E-03   0.527865E+03
   0.122901E-03   0.532994E+03
   0.124137E-03   0.538173E+03
   0.125384E-03   0.543402E+03
   0.126644E-03   0.548682E+03
   0.127917E-03   0.554012E+03
   0.129203E-03   0.559395E+03
   0.130501E-03   0.564830E+03
   0.131813E-03   0.570317E+03
   0.133138E-03   0.575858E+03
   0.134476E-03   0.581452E+03
   0.135827E-03   0.587101E+03
   0.137192E-03   0.592804E+03
   0.138571E-03   0.598563E+03
   0.139964E-03   0.604377E+03
   0.141370E-03   0.610248E+03
   0.142791E-03   0.616176E+03
   0.144226E-03   0.622161E+03
   0.145676E-03   0.628205E+03
   0.147140E-03   0.634307E+03
   0.148618E-03   0.640468E+03
   0.150112E-03   0.646688E+03
   0.151621E-03   0.652969E+03
   0.153145E-03   0.659311E+03
   0.154684E-03   0.665714E+03
   0.156238E-03   0.672180E+03
   0.157809E-03   0.678707E+03
   0.159395E-03   0.685299E+03
   0.160996E-03   0.691953E+03
   0.162615E-03   0.698673E+03
   0.164249E-03   0.705457E+03
   0.165900E-03   0.712307E+03
   0.167567E-03   0.719224E+03
   0.169251E-03   0.726207E+03
   0.170952E-03   0.733258E+03
   0.172670E-03   0.740377E+03
   0.174405E-03   0.747566E+03
   0.176158E-03   0.754823E+03
   0.177929E-03   0.762152E+03
   0.179717E-03   0.769550E+03
   0.181523E-03   0.777021E+03
   0.183347E-03   0.784564E+03
   0.185190E-03   0.792179E+03
   0.187051E-03   0.799869E+03
   0.188931E-03   0.807632E+03
   0.190830E-03   0.815471E+03
   0.192748E-03   0.823386E+03
   0.194685E-03   0.831377E+03
   0.196642E-03   0.839445E+03
   0.198618E-03   0.847592E+03
   0.200614E-03   0.855817E+03
   0.202630E-03   0.864121E+03
   0.204667E-03   0.872506E+03
   0.206724E-03   0.880972E+03
   0.208801E-03   0.889519E+03
   0.210900E-03   0.898149E+03
   0.213019E-03   0.906863E+03
   0.215160E-03   0.915660E+03
   0.217323E-03   0.924543E+03
   0.219507E-03   0.933511E+03
   0.221713E-03   0.942566E+03
   0.223941E-03   0.951708E+03
   0.226192E-03   0.960938E+03
   0.228465E-03   0.970258E+03
   0.230761E-03   0.979667E+03
   0.233080E-03   0.989167E+03
   0.235423E-03   0.998759E+03
   0.237789E-03   0.100844E+04
   0.240179E-03   0.101822E+04
   0.242592E-03   0.102809E+04
   0.245030E-03   0.103806E+04
   0.247493E-03   0.104812E+04
   0.249980E-03   0.105828E+04
   0.252493E-03   0.106854E+04
   0.255030E-03   0.107890E+04
   0.257593E-03   0.108935E+04
   0.260182E-03   0.109991E+04
   0.262797E-03   0.111057E+04
   0.265438E-03   0.112133E+04
   0.268106E-03   0.113219E+04
   0.270801E-03   0.114316E+04
   0.273522E-03   0.115424E+04
   0.276271E-03   0.116542E+04
   0.279048E-03   0.117671E+04
   0.281852E-03   0.118810E+04
   0.284685E-03   0.119961E+04
   0.287546E-03   0.121123E+04
   0.290436E-03   0.122296E+04
   0.293355E-03   0.123480E+04
   0.296303E-03   0.124675E+04
   0.299281E-03   0.125882E+04
   0.302289E-03   0.127101E+04
   0.305327E-03   0.128331E+04
   0.308395E-03   0.129573E+04
   0.311495E-03   0.130827E+04
   0.314625E-03   0.132093E+04
   0.317787E-03   0.133371E+04
   0.320981E-03   0.134661E+04
   0.324207E-03   0.135964E+04
   0.327465E-03   0.137279E+04
   0.330757E-03   0.138607E+04
   0.334081E-03   0.139947E+04
   0.337438E-03   0.141300E+04
   0.340830E-03   0.142667E+04
   0.344255E-03   0.144046E+04
   0.347715E-03   0.145438E+04
   0.351209E-03   0.146844E+04
   0.354739E-03   0.148263E+04
   0.358304E-03   0.149696E+04
   0.361905E-03   0.151142E+04
   0.365543E-03   0.152602E+04
   0.369216E-03   0.154077E+04
   0.372927E-03   0.155565E+04
   0.376675E-03   0.157067E+04
   0.380461E-03   0.158584E+04
   0.384284E-03   0.160115E+04
   0.388146E-03   0.161661E+04
   0.392047E-03   0.163221E+04
   0.395987E-03   0.164796E+04
   0.399967E-03   0.166386E+04
   0.403987E-03   0.167992E+04
   0.408047E-03   0.169612E+04
   0.412148E-03   0.171248E+04
   0.416290E-03   0.172900E+04
   0.420474E-03   0.174567E+04
   0.424700E-03   0.176250E+04
   0.428968E-03   0.177949E+04
   0.433279E-03   0.179664E+04
   0.437634E-03   0.181395E+04
   0.442032E-03   0.183143E+04
   0.446475E-03   0.184907E+04
   0.450962E-03   0.186688E+04
   0.455494E-03   0.188486E+04
   0.460072E-03   0.190301E+04
   0.464696E-03   0.192133E+04
   0.469366E-03   0.193982E+04
   0.474083E-03   0.195849E+04
   0.478848E-03   0.197733E+04
   0.483660E-03   0.199635E+04
   0.488521E-03   0.201555E+04
   0.493431E-03   0.203493E+04
   0.498390E-03   0.205449E+04
   0.503399E-03   0.207424E+04
   0.508458E-03   0.209417E+04
   0.513568E-03   0.211429E+04
   0.518729E-03   0.213460E+04
   0.523943E-03   0.215510E+04
   0.529208E-03   0.217579E+04
   0.534527E-03   0.219668E+04
   0.539899E-03   0.221776E+04
   0.545325E-03   0.223904E+04
   0.550806E-03   0.226051E+04
   0.556342E-03   0.228219E+04
   0.561933E-03   0.230407E+04
   0.567581E-03   0.232616E+04
   0.573285E-03   0.234845E+04
   0.579046E-03   0.237095E+04
   0.584866E-03   0.239366E+04
   0.590744E-03   0.241658E+04
   0.596681E-03   0.243971E+04
   0.602678E-03   0.246306E+04
   0.608735E-03   0.248663E+04
   0.614853E-03   0.251041E+04
   0.621032E-03   0.253442E+04
   0.627273E-03   0.255865E+04
   0.633578E-03   0.258310E+04
   0.639945E-03   0.260778E+04
   0.646377E-03   0.263269E+04
   0.652873E-03   0.265783E+04
   0.659435E-03   0.268320E+04
   0.666062E-03   0.270880E+04
   0.672756E-03   0.273464E+04
   0.679517E-03   0.276072E+04
   0.686347E-03   0.278704E+04
   0.693244E-03   0.281360E+04
   0.700212E-03   0.284041E+04
   0.707249E-03   0.286746E+04
   0.714357E-03   0.289476E+04
   0.721536E-03   0.292231E+04
   0.728788E-03   0.295011E+04
   0.736112E-03   0.297817E+04
   0.743510E-03   0.300648E+04
   0.750982E-03   0.303505E+04
   0.758530E-03   0.306389E+04
   0.766153E-03   0.309298E+04
   0.773853E-03   0.312234E+04
   0.781631E-03   0.315197E+04
   0.789486E-03   0.318187E+04
   0.797421E-03   0.321204E+04
   0.805435E-03   0.324248E+04
   0.813530E-03   0.327320E+04
   0.821706E-03   0.330420E+04
   0.829964E-03   0.333547E+04
   0.838305E-03   0.336703E+04
   0.846731E-03   0.339888E+04
   0.855240E-03   0.343101E+04
   0.863836E-03   0.346343E+04
   0.872517E-03   0.349614E+04
   0.881286E-03   0.352915E+04
   0.890143E-03   0.356245E+04
   0.899090E-03   0.359605E+04
   0.908125E-03   0.362995E+04
   0.917252E-03   0.366416E+04
   0.926471E-03   0.369867E+04
   0.935782E-03   0.373349E+04
   0.945187E-03   0.376862E+04
   0.954686E-03   0.380406E+04
   0.964281E-03   0.383981E+04
   0.973972E-03   0.387589E+04
   0.983760E-03   0.391228E+04
   0.993647E-03   0.394899E+04
   0.100363E-02   0.398603E+04
   0.101372E-02   0.402340E+04
   0.102391E-02   0.406109E+04
   0.103420E-02   0.409912E+04
   0.104459E-02   0.413748E+04
   0.105509E-02   0.417618E+04
   0.106570E-02   0.421521E+04
   0.107641E-02   0.425459E+04
   0.108722E-02   0.429431E+04
   0.109815E-02   0.433438E+04
   0.110919E-02   0.437479E+04
   0.112033E-02   0.441556E+04
   0.113159E-02   0.445668E+04
   0.114297E-02   0.449816E+04
   0.115445E-02   0.453999E+04
   0.116606E-02   0.458219E+04
   0.117778E-02   0.462475E+04
   0.118961E-02   0.466768E+04
   0.120157E-02   0.471097E+04
   0.121364E-02   0.475464E+04
   0.122584E-02   0.479868E+04
   0.123816E-02   0.484309E+04
   0.125060E-02   0.488788E+04
   0.126317E-02   0.493306E+04
   0.127587E-02   0.497862E+04
   0.128869E-02   0.502456E+04
   0.130164E-02   0.507089E+04
   0.131472E-02   0.511761E+04
   0.132794E-02   0.516473E+04
   0.134128E-02   0.521224E+04
   0.135476E-02   0.526015E+04
   0.136838E-02   0.530846E+04
   0.138213E-02   0.535717E+04
   0.139602E-02   0.540629E+04
   0.141005E-02   0.545582E+04
   0.142422E-02   0.550576E+04
   0.143854E-02   0.555611E+04
   0.145300E-02   0.560687E+04
   0.146760E-02   0.565805E+04
   0.148235E-02   0.570966E+04
   0.149725E-02   0.576168E+04
   0.151229E-02   0.581414E+04
   0.152749E-02   0.586701E+04
   0.154284E-02   0.592032E+04
   0.155835E-02   0.597406E+04
   0.157401E-02   0.602824E+04
   0.158983E-02   0.608285E+04
   0.160581E-02   0.613790E+04
   0.162195E-02   0.619339E+04
   0.163825E-02   0.624933E+04
   0.165471E-02   0.630571E+04
   0.167134E-02   0.636254E+04
   0.168814E-02   0.641982E+04
   0.170511E-02   0.647755E+04
   0.172224E-02   0.653574E+04
   0.173955E-02   0.659438E+04
   0.175703E-02   0.665349E+04
   0.177469E-02   0.671305E+04
   0.179253E-02   0.677308E+04
   0.181054E-02   0.683357E+04
   0.182874E-02   0.689453E+04
   0.184712E-02   0.695596E+04
   0.186568E-02   0.701786E+04
   0.188443E-02   0.708024E+04
   0.190337E-02   0.714309E+04
   0.192250E-02   0.720641E+04
   0.194182E-02   0.727022E+04
   0.196134E-02   0.733450E+04
   0.198105E-02   0.739927E+04
   0.200096E-02   0.746452E+04
   0.202107E-02   0.753026E+04
   0.204138E-02   0.759649E+04
   0.206190E-02   0.766321E+04
   0.208262E-02   0.773041E+04
   0.210355E-02   0.779812E+04
   0.212469E-02   0.786631E+04
   0.214605E-02   0.793500E+04
   0.216761E-02   0.800419E+04
   0.218940E-02   0.807387E+04
   0.221140E-02   0.814406E+04
   0.223363E-02   0.821475E+04
   0.225608E-02   0.828594E+04
   0.227875E-02   0.835763E+04
   0.230165E-02   0.842983E+04
   0.232478E-02   0.850253E+04
   0.234815E-02   0.857574E+04
   0.237175E-02   0.864946E+04
   0.239558E-02   0.872369E+04
   0.241966E-02   0.879842E+04
   0.244398E-02   0.887367E+04
   0.246854E-02   0.894943E+04
   0.249335E-02   0.902570E+04
   0.251841E-02   0.910248E+04
   0.254372E-02   0.917978E+04
   0.256928E-02   0.925758E+04
   0.259511E-02   0.933591E+04
   0.262119E-02   0.941475E+04
   0.264753E-02   0.949410E+04
   0.267414E-02   0.957396E+04
   0.270101E-02   0.965435E+04
   0.272816E-02   0.973524E+04
   0.275558E-02   0.981666E+04
   0.278327E-02   0.989858E+04
   0.281124E-02   0.998102E+04
   0.283950E-02   0.100640E+05
   0.286804E-02   0.101474E+05
   0.289686E-02   0.102314E+05
   0.292597E-02   0.103159E+05
   0.295538E-02   0.104009E+05
   0.298508E-02   0.104864E+05
   0.301508E-02   0.105725E+05
   0.304538E-02   0.106590E+05
   0.307599E-02   0.107460E+05
