#           k/h    P           
   0.386145E-01   0.163975E+05
   0.390025E-01   0.162366E+05
   0.393945E-01   0.160773E+05
   0.397905E-01   0.159197E+05
   0.401904E-01   0.157639E+05
   0.405943E-01   0.156100E+05
   0.410023E-01   0.154581E+05
   0.414143E-01   0.153084E+05
   0.418306E-01   0.151609E+05
   0.422509E-01   0.150158E+05
   0.426756E-01   0.148730E+05
   0.431045E-01   0.147327E+05
   0.435377E-01   0.145950E+05
   0.439752E-01   0.144598E+05
   0.444172E-01   0.141912E+05
   0.448636E-01   0.140602E+05
   0.453145E-01   0.139318E+05
   0.457699E-01   0.138061E+05
   0.462299E-01   0.136832E+05
   0.466945E-01   0.135628E+05
   0.471638E-01   0.134452E+05
   0.476378E-01   0.133301E+05
   0.481166E-01   0.132177E+05
   0.486002E-01   0.131077E+05
   0.490886E-01   0.130002E+05
   0.495820E-01   0.128951E+05
   0.500803E-01   0.127923E+05
   0.505836E-01   0.126918E+05
   0.510920E-01   0.125934E+05
   0.516055E-01   0.124971E+05
   0.521241E-01   0.124027E+05
   0.526479E-01   0.123103E+05
   0.531771E-01   0.122196E+05
   0.537115E-01   0.121307E+05
   0.542513E-01   0.121172E+05
   0.547965E-01   0.120320E+05
   0.553473E-01   0.119481E+05
   0.559035E-01   0.118661E+05
   0.564653E-01   0.117869E+05
   0.570328E-01   0.117089E+05
   0.576060E-01   0.116317E+05
   0.581850E-01   0.115554E+05
   0.587697E-01   0.114798E+05
   0.593604E-01   0.114047E+05
   0.599570E-01   0.113299E+05
   0.605596E-01   0.112553E+05
   0.611682E-01   0.111807E+05
   0.617829E-01   0.111060E+05
   0.624039E-01   0.110307E+05
   0.630310E-01   0.109550E+05
   0.636645E-01   0.108786E+05
   0.643043E-01   0.107480E+05
   0.649506E-01   0.106676E+05
   0.656034E-01   0.105859E+05
   0.662627E-01   0.105028E+05
   0.669286E-01   0.104180E+05
   0.676013E-01   0.103313E+05
   0.682807E-01   0.102427E+05
   0.689670E-01   0.101518E+05
   0.696600E-01   0.100587E+05
   0.703601E-01   0.996300E+04
   0.710673E-01   0.986472E+04
   0.717815E-01   0.976371E+04
   0.725029E-01   0.965991E+04
   0.732316E-01   0.955321E+04
   0.739676E-01   0.947116E+04
   0.747110E-01   0.935917E+04
   0.754618E-01   0.924421E+04
   0.762202E-01   0.912631E+04
   0.769863E-01   0.900556E+04
   0.777600E-01   0.888207E+04
   0.785415E-01   0.875600E+04
   0.793308E-01   0.862752E+04
   0.801281E-01   0.849685E+04
   0.809335E-01   0.836424E+04
   0.817469E-01   0.822995E+04
   0.825684E-01   0.809432E+04
   0.833982E-01   0.795762E+04
   0.842364E-01   0.782022E+04
   0.850830E-01   0.768247E+04
   0.859381E-01   0.754476E+04
   0.868018E-01   0.740742E+04
   0.876742E-01   0.727085E+04
   0.885553E-01   0.713543E+04
   0.894453E-01   0.700153E+04
   0.903442E-01   0.686949E+04
   0.912522E-01   0.673966E+04
   0.921693E-01   0.661237E+04
   0.930956E-01   0.648795E+04
   0.940312E-01   0.636665E+04
   0.949763E-01   0.624875E+04
   0.959308E-01   0.613447E+04
   0.968949E-01   0.602403E+04
   0.978687E-01   0.591758E+04
   0.988523E-01   0.581527E+04
   0.998458E-01   0.571720E+04
   0.100849E+00   0.562346E+04
   0.101863E+00   0.553406E+04
   0.102887E+00   0.544903E+04
   0.103921E+00   0.536834E+04
   0.104965E+00   0.529192E+04
   0.106020E+00   0.521968E+04
   0.107085E+00   0.515150E+04
   0.108162E+00   0.508722E+04
   0.109249E+00   0.502666E+04
   0.110347E+00   0.496959E+04
   0.111456E+00   0.491577E+04
   0.112576E+00   0.486492E+04
   0.113707E+00   0.481672E+04
   0.114850E+00   0.477086E+04
   0.116004E+00   0.472694E+04
   0.117170E+00   0.468458E+04
   0.118348E+00   0.464338E+04
   0.119537E+00   0.460290E+04
   0.120738E+00   0.456270E+04
   0.121952E+00   0.452233E+04
   0.123178E+00   0.448135E+04
   0.124415E+00   0.443935E+04
   0.125666E+00   0.439590E+04
   0.126929E+00   0.435066E+04
   0.128205E+00   0.430330E+04
   0.129493E+00   0.425354E+04
   0.130794E+00   0.420119E+04
   0.132109E+00   0.414608E+04
   0.133437E+00   0.408816E+04
   0.134778E+00   0.402740E+04
   0.136132E+00   0.396386E+04
   0.137500E+00   0.389766E+04
   0.138882E+00   0.382899E+04
   0.140278E+00   0.375809E+04
   0.141688E+00   0.368527E+04
   0.143112E+00   0.361087E+04
   0.144550E+00   0.353530E+04
   0.146003E+00   0.345902E+04
   0.147470E+00   0.338252E+04
   0.148952E+00   0.330631E+04
   0.150449E+00   0.323093E+04
   0.151962E+00   0.315691E+04
   0.153489E+00   0.308479E+04
   0.155031E+00   0.301503E+04
   0.156589E+00   0.294807E+04
   0.158163E+00   0.288425E+04
   0.159753E+00   0.282386E+04
   0.161358E+00   0.276705E+04
   0.162980E+00   0.271392E+04
   0.164618E+00   0.266446E+04
   0.166272E+00   0.261859E+04
   0.167943E+00   0.257615E+04
   0.169631E+00   0.253694E+04
   0.171336E+00   0.250070E+04
   0.173058E+00   0.246716E+04
   0.174797E+00   0.243597E+04
   0.176554E+00   0.240680E+04
   0.178328E+00   0.237922E+04
   0.180121E+00   0.235282E+04
   0.181931E+00   0.232713E+04
   0.183759E+00   0.230165E+04
   0.185606E+00   0.227591E+04
   0.187472E+00   0.224943E+04
   0.189356E+00   0.222180E+04
   0.191259E+00   0.219267E+04
   0.193181E+00   0.216180E+04
   0.195122E+00   0.212903E+04
   0.197083E+00   0.209430E+04
   0.199064E+00   0.205768E+04
   0.201065E+00   0.201931E+04
   0.203086E+00   0.197939E+04
   0.205126E+00   0.193820E+04
   0.207188E+00   0.189608E+04
   0.209270E+00   0.185342E+04
   0.211374E+00   0.181065E+04
   0.213498E+00   0.176824E+04
   0.215644E+00   0.172666E+04
   0.217811E+00   0.168637E+04
   0.220000E+00   0.164778E+04
   0.222211E+00   0.161120E+04
   0.224444E+00   0.157684E+04
   0.226700E+00   0.154481E+04
   0.228978E+00   0.151511E+04
   0.231280E+00   0.148764E+04
   0.233604E+00   0.146223E+04
   0.235952E+00   0.143866E+04
   0.238323E+00   0.141668E+04
   0.240718E+00   0.139598E+04
   0.243137E+00   0.137625E+04
   0.245581E+00   0.135714E+04
   0.248049E+00   0.133828E+04
   0.250542E+00   0.131930E+04
   0.253060E+00   0.129988E+04
   0.255603E+00   0.127973E+04
   0.258172E+00   0.125867E+04
   0.260767E+00   0.123660E+04
   0.263388E+00   0.121354E+04
   0.266035E+00   0.118961E+04
   0.268708E+00   0.116497E+04
   0.271409E+00   0.113988E+04
   0.274137E+00   0.111460E+04
   0.276892E+00   0.108944E+04
   0.279675E+00   0.106469E+04
   0.282486E+00   0.104066E+04
   0.285324E+00   0.101758E+04
   0.288192E+00   0.995676E+03
   0.291088E+00   0.975052E+03
   0.294014E+00   0.955733E+03
   0.296969E+00   0.937654E+03
   0.299953E+00   0.920675E+03
   0.302968E+00   0.904612E+03
   0.306013E+00   0.889267E+03
   0.309088E+00   0.874439E+03
   0.312195E+00   0.859926E+03
   0.315332E+00   0.845516E+03
   0.318502E+00   0.831009E+03
   0.321703E+00   0.816228E+03
   0.324936E+00   0.801059E+03
   0.328201E+00   0.785475E+03
   0.331500E+00   0.769547E+03
   0.334832E+00   0.753412E+03
   0.338196E+00   0.737239E+03
   0.341595E+00   0.721192E+03
   0.345029E+00   0.705424E+03
   0.348496E+00   0.690075E+03
   0.351998E+00   0.675278E+03
   0.355536E+00   0.661128E+03
   0.359109E+00   0.647673E+03
   0.362719E+00   0.634887E+03
   0.366364E+00   0.622686E+03
   0.370046E+00   0.610951E+03
   0.373765E+00   0.599565E+03
   0.377521E+00   0.588420E+03
   0.381316E+00   0.577415E+03
   0.385148E+00   0.566451E+03
   0.389019E+00   0.555437E+03
   0.392928E+00   0.544324E+03
   0.396877E+00   0.533134E+03
   0.400866E+00   0.521936E+03
   0.404895E+00   0.510824E+03
   0.408964E+00   0.499889E+03
   0.413074E+00   0.489197E+03
   0.417225E+00   0.478802E+03
   0.421419E+00   0.468743E+03
   0.425654E+00   0.459049E+03
   0.429932E+00   0.449714E+03
   0.434253E+00   0.440698E+03
   0.438617E+00   0.431930E+03
   0.443025E+00   0.423345E+03
   0.447478E+00   0.414890E+03
   0.451975E+00   0.406529E+03
   0.456517E+00   0.398227E+03
   0.461106E+00   0.389969E+03
   0.465740E+00   0.381765E+03
   0.470420E+00   0.373657E+03
   0.475148E+00   0.365693E+03
   0.479924E+00   0.357906E+03
   0.484747E+00   0.350312E+03
   0.489619E+00   0.342919E+03
   0.494539E+00   0.335734E+03
   0.499510E+00   0.328754E+03
   0.504530E+00   0.321952E+03
   0.509601E+00   0.315291E+03
   0.514722E+00   0.308740E+03
   0.519895E+00   0.302285E+03
   0.525120E+00   0.295922E+03
   0.530398E+00   0.289647E+03
   0.535728E+00   0.283466E+03
   0.541112E+00   0.277393E+03
   0.546551E+00   0.271449E+03
   0.552044E+00   0.265644E+03
   0.557592E+00   0.259975E+03
   0.563196E+00   0.254437E+03
   0.568856E+00   0.249031E+03
   0.574573E+00   0.243747E+03
   0.580347E+00   0.238563E+03
   0.586180E+00   0.233468E+03
   0.592071E+00   0.228462E+03
   0.598022E+00   0.223550E+03
   0.604032E+00   0.218727E+03
   0.610102E+00   0.213995E+03
   0.616234E+00   0.209364E+03
   0.622428E+00   0.204839E+03
   0.628683E+00   0.200411E+03
   0.635001E+00   0.196078E+03
   0.641383E+00   0.191840E+03
   0.647829E+00   0.187689E+03
   0.654340E+00   0.183616E+03
   0.660916E+00   0.179621E+03
   0.667558E+00   0.175710E+03
   0.674268E+00   0.171875E+03
   0.681044E+00   0.168116E+03
   0.687889E+00   0.164441E+03
   0.694802E+00   0.160846E+03
   0.701785E+00   0.157324E+03
   0.708838E+00   0.153876E+03
   0.715962E+00   0.150504E+03
   0.723157E+00   0.147197E+03
   0.730425E+00   0.143958E+03
   0.737767E+00   0.140788E+03
   0.745181E+00   0.137683E+03
   0.752670E+00   0.134642E+03
   0.760235E+00   0.131668E+03
   0.767875E+00   0.128757E+03
   0.775592E+00   0.125905E+03
   0.783387E+00   0.123116E+03
   0.791260E+00   0.120384E+03
   0.799213E+00   0.117708E+03
   0.807245E+00   0.115091E+03
   0.815358E+00   0.112529E+03
   0.823552E+00   0.110019E+03
   0.831829E+00   0.107566E+03
   0.840190E+00   0.105164E+03
   0.848633E+00   0.102812E+03
   0.857162E+00   0.100513E+03
   0.865777E+00   0.982605E+02
   0.874478E+00   0.960566E+02
   0.883266E+00   0.939015E+02
   0.892143E+00   0.917904E+02
   0.901110E+00   0.897266E+02
   0.910166E+00   0.877068E+02
   0.919313E+00   0.857299E+02
   0.928553E+00   0.837974E+02
   0.937885E+00   0.819046E+02
   0.947311E+00   0.800542E+02
   0.956831E+00   0.782436E+02
   0.966447E+00   0.764715E+02
   0.976161E+00   0.747393E+02
   0.985971E+00   0.730432E+02
   0.995880E+00   0.713855E+02
   0.100589E+01   0.697628E+02
   0.101600E+01   0.681759E+02
   0.102621E+01   0.666239E+02
   0.103652E+01   0.651051E+02
   0.104694E+01   0.636205E+02
   0.105746E+01   0.621671E+02
   0.106809E+01   0.607469E+02
   0.107882E+01   0.593567E+02
   0.108967E+01   0.579982E+02
   0.110062E+01   0.566687E+02
   0.111168E+01   0.553692E+02
   0.112285E+01   0.540978E+02
   0.113414E+01   0.528551E+02
   0.114553E+01   0.516396E+02
   0.115705E+01   0.504512E+02
   0.116868E+01   0.492890E+02
   0.118042E+01   0.481530E+02
   0.119229E+01   0.470419E+02
   0.120427E+01   0.459558E+02
   0.121637E+01   0.448937E+02
   0.122860E+01   0.438556E+02
   0.124094E+01   0.428402E+02
   0.125342E+01   0.418480E+02
   0.126601E+01   0.408773E+02
   0.127874E+01   0.399292E+02
   0.129159E+01   0.390014E+02
   0.130457E+01   0.380951E+02
   0.131768E+01   0.372086E+02
   0.133092E+01   0.363425E+02
   0.134430E+01   0.354956E+02
   0.135781E+01   0.346677E+02
   0.137145E+01   0.338589E+02
   0.138524E+01   0.330678E+02
   0.139916E+01   0.322951E+02
   0.141322E+01   0.315396E+02
   0.142742E+01   0.308012E+02
   0.144177E+01   0.300798E+02
   0.145626E+01   0.293745E+02
   0.147090E+01   0.286854E+02
   0.148568E+01   0.280119E+02
   0.150061E+01   0.273535E+02
   0.151569E+01   0.267104E+02
   0.153092E+01   0.260818E+02
   0.154631E+01   0.254674E+02
   0.156185E+01   0.248673E+02
   0.157755E+01   0.242807E+02
   0.159340E+01   0.237075E+02
   0.160942E+01   0.231477E+02
   0.162559E+01   0.226005E+02
   0.164193E+01   0.220659E+02
   0.165843E+01   0.215437E+02
   0.167510E+01   0.210335E+02
   0.169193E+01   0.205349E+02
   0.170894E+01   0.200479E+02
   0.172611E+01   0.195721E+02
   0.174346E+01   0.191072E+02
   0.176098E+01   0.186530E+02
   0.177868E+01   0.182092E+02
   0.179656E+01   0.177759E+02
   0.181461E+01   0.173525E+02
   0.183285E+01   0.169389E+02
   0.185127E+01   0.165348E+02
   0.186987E+01   0.161403E+02
   0.188867E+01   0.157548E+02
   0.190765E+01   0.153783E+02
   0.192682E+01   0.150106E+02
   0.194619E+01   0.146514E+02
   0.196575E+01   0.143006E+02
   0.198550E+01   0.139580E+02
   0.200546E+01   0.136233E+02
