7.000000e-01  9.682113e+01  3.866203e+00  9.682113e+01  3.866203e+00
8.000000e-01  1.089233e+02  4.507620e+00  1.457348e+02  5.938533e+00
9.000000e-01  1.136335e+02  5.010028e+00  1.848004e+02  7.769592e+00
1.000000e+00  1.246574e+02  5.740822e+00  2.229141e+02  9.660414e+00
1.100000e+00  1.331693e+02  6.410817e+00  2.596628e+02  1.159406e+01
1.200000e+00  1.315641e+02  6.779244e+00  2.910908e+02  1.343057e+01
1.300000e+00  1.261032e+02  6.848863e+00  3.172316e+02  1.507605e+01
1.400000e+00  1.144640e+02  5.144636e+00  3.372505e+02  1.592967e+01
1.500000e+00  9.573694e+01  4.750047e+00  3.505759e+02  1.662280e+01
1.600000e+00  8.218748e+01  4.455414e+00  3.600809e+02  1.720954e+01
1.700000e+00  6.677108e+01  3.961951e+00  3.662194e+02  1.765971e+01
1.800000e+00  5.124886e+01  3.321997e+00  3.697879e+02  1.796944e+01
1.900000e+00  4.165161e+01  2.930061e+00  3.721262e+02  1.820676e+01
2.000000e+00  3.201025e+01  2.427716e+00  3.735004e+02  1.836791e+01
