7.000000e-01  1.018370e+02  1.018370e+02
8.000000e-01  1.060915e+02  1.470584e+02
9.000000e-01  1.034813e+02  1.798181e+02
1.000000e+00  1.069180e+02  2.092033e+02
1.100000e+00  1.029537e+02  2.331641e+02
1.200000e+00  9.805680e+01  2.529439e+02
1.300000e+00  8.690532e+01  2.674568e+02
1.400000e+00  7.802770e+01  2.786063e+02
1.500000e+00  6.267591e+01  2.855692e+02
1.600000e+00  5.413634e+01  2.906553e+02
1.700000e+00  4.288792e+01  2.938024e+02
1.800000e+00  3.245982e+01  2.955901e+02
1.900000e+00  2.720889e+01  2.968397e+02
2.000000e+00  2.062307e+01  2.975553e+02
