7.000000e-01  9.002418e+01  9.002418e+01
8.000000e-01  9.456968e+01  1.305671e+02
9.000000e-01  9.075147e+01  1.590082e+02
1.000000e+00  9.505580e+01  1.852544e+02
1.100000e+00  9.312868e+01  2.073455e+02
1.200000e+00  8.993129e+01  2.260084e+02
1.300000e+00  7.802487e+01  2.390976e+02
1.400000e+00  7.115074e+01  2.494596e+02
1.500000e+00  5.663113e+01  2.558069e+02
1.600000e+00  4.881474e+01  2.604229e+02
1.700000e+00  3.937207e+01  2.633823e+02
1.800000e+00  2.921170e+01  2.649973e+02
1.900000e+00  2.438428e+01  2.661168e+02
2.000000e+00  1.840616e+01  2.667526e+02
