 #  z                       P                       B                  P+B diagonal            P+B         
  0.700000000000000        254.900822995550        88.0777898682293   269.688944215147        266.109564736774     
  0.800000000000000        270.746601908117        93.2537885513341   286.356406465735        282.860572443029     
  0.900000000000000        273.530332337309        91.6277602343975   288.469216995733        284.877420929137     
   1.00000000000000        283.015442680528        95.6637424411184   298.746200667885        296.049602410002     
   1.10000000000000        278.984361041831        92.6495450194436   293.966344839385        292.080828849171     
   1.20000000000000        271.732365098544        88.7820625096437   285.868383815900        284.080828849171   
   1.30000000000000        253.124763944792        79.1207992584214   265.202275626357        264.188614120311     
   1.40000000000000        234.444923550073        71.6230129198833   245.141343224926        244.544813552366     
   1.50000000000000        201.408912418991        57.7847232713228   209.534303266420        208.925331919879     
   1.60000000000000        181.184156294862        50.1905365031542   188.007415935530        187.805697139365     
   1.70000000000000        154.848808961898        39.9362189197123   159.915775389802        158.009860266018    
   1.80000000000000        128.072633163716        30.2702846505093   131.601251887323        130.072633163716     
   1.90000000000000        113.152957120849        25.4544626228729   115.980693965039        114.040510676624  
   2.00000000000000        94.1724961784597        19.3500698991457   96.1399201247007        95.4771385235945    
